Instrument,Company Common Name,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity
ROSNP.BX,OMV Petrom SA,58.38245,12.69291,12.69291,,47620820000.0,-0.23281,20590133379.7725,2.91602,33070630000.0,47620820000.0
PTT.BK,PTT PCL,57.01214,38.64856,38.64856,21.5,2544182883923.0,0.29348,1209483679810.73,61.86617,882040401831.0,2544182883923.0
ELIr.AT,Elinoil Hellenic Petroleum Company SA,23.46407,,34.46094,,181253785.37,1.4825,36695320.2,161.40526,55948875.18,181253785.37
NVTK.MM,Novatek PAO,35.42224,,39.36078,,2059178000000.0,0.02973,3823316515200.0,14.19703,1619964000000.0,2059178000000.0
PEA.TO,Pieridae Energy Ltd,85.03259,,,,612651000.0,48.24384,74879888.725,5076.87044,4647000.0,612651000.0
ENER.KW,Energy House Holding Company KSCP,6.97432,,,,28042018.0,-0.73183,21300000.0,1.2089,21129407.0,28042018.0
PGN.WA,Polskie Gornictwo Naftowe i Gazownictwo SA,67.70212,18.67036,18.67036,17.5,62871000000.0,-0.06502,32189560605.1334,9.33512,44821000000.0,62871000000.0
SHEL.L,Shell PLC,55.29072,30.97,,29.53333,379268000000.0,0.48054,137018726832.651,68.13173,155310000000.0,379268000000.0
ECHOE.L,Echo Energy PLC,13.07935,,,,19516967.0,,7750218.78666065,,-24050627.0,19516967.0
DANA.AD,Dana Gas PJSC,39.14121,,,,2422000000.0,0.00186,1359915211.37062,7.59907,2143000000.0,2422000000.0
ROSN.MM,NK Rosneft' PAO,68.76873,,-12.92517,,15350000000000.0,0.50465,4612326985958.4,80.04374,4706000000000.0,15350000000000.0
GALP.LS,Galp Energia SGPS SA,47.07012,83.19,,69.375,12492000000.0,0.75902,6750831993.234,117.85366,3160000000.0,12492000000.0
GSP.MI,Gas Plus SpA,22.84024,,,,458835000.0,0.47653,83531893.2,50.34985,177764000.0,458835000.0
INAI.ZA,INA dd,63.19225,,,,18996000000.0,0.21321,27913126817.3032,25.58512,9344000000.0,18996000000.0
601857.SS,PetroChina Co Ltd,64.15484,40.283,40.28608,28.75,2488400000000.0,0.27106,714597364402.074,37.7835,1215421000000.0,2488400000000.0
ECO.CN,Ecopetrol SA,70.8811,35.65,38.46663,31.8,139417119000000.0,0.70292,92306979579050.0,83.71975,52095250000000.0,139417119000000.0
CVE.TO,Cenovus Energy Inc,82.92035,,,3.55,32770000000.0,0.55821,9523741748.25,58.08344,16707000000.0,32770000000.0
NIIS.BEL,NIS ad Novi Sad,80.24809,,,,385230187000.0,0.31519,105010897600.0,35.12135,242742629000.0,385230187000.0
IOG.L,Iog PLC,45.36012,,,,154239000.0,4.38253,64443872.46,502.50899,22798000.0,154239000.0
2222.SE,Saudi Arabian Oil Co,63.18156,50.45056,50.65758,50.1425,1914261000000.0,0.29173,7000000000000.0,48.68585,990848000000.0,1914261000000.0
RNFT.MM,NK Russneft' PAO,53.83643,,,,275295000000.0,1.81956,68588784000.0,193.10042,36388000000.0,275295000000.0
UNTC.PK,Unit Corp,85.02223,,,,649703000.0,0.21164,,24.01731,179222000.0,649703000.0
XOM.N,Exxon Mobil Corp,71.6087,30.02593,30.02593,38.44286,362597000000.0,0.2211,295246581285.48,23.66265,191650000000.0,362597000000.0
TTEF.PA,TotalEnergies SE,42.59442,33.92259,33.92259,41.7,273294000000.0,0.2626,143502173497.298,51.04396,116778000000.0,273294000000.0
BP.L,BP PLC,44.93384,48.614,48.61418,38.74,295194000000.0,0.56084,127390545119.332,76.90154,98412000000.0,295194000000.0
CVX.N,Chevron Corp,65.101,29.02,48.55491,30.66667,237428000000.0,0.14616,226820077851.51,18.57542,144213000000.0,237428000000.0
