Instrument,Company Common Name,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity
IOG.L,Iog PLC,,,,,8221000.0,0.01054,4674224.07,7.70903,5980000.0,8221000.0
RNFT.MM,NK Russneft' PAO,50.11287,,-18.34641,,205718568000.0,,,,-131592549000.0,205718568000.0
UNTC.PK,Unit Corp,92.39254,38.71808,38.87297,38.35,4473728000.0,0.37472,1690476469.0,37.5172,2332394000.0,4473728000.0
XOM.N,Exxon Mobil Corp,70.25501,42.04224,42.04224,43.9,346808000000.0,0.10003,438702000000.0,12.57597,174003000000.0,346808000000.0
TTEF.PA,TotalEnergies SE,43.67473,48.48,56.17392,54.94444,239223000000.0,0.23702,145471074614.908,43.9567,100241000000.0,239223000000.0
BP.L,BP PLC,43.73385,35.0,21.38579,33.35,305690000000.0,0.19328,150644771285.827,36.95507,129302000000.0,305690000000.0
CVX.N,Chevron Corp,64.95647,39.9,39.8496,41.5,253753000000.0,0.02603,240223541053.83,13.582,149113000000.0,253753000000.0
TTLC.CI,Total Cote d'Ivoire SA,25.48889,,26.84061,,68983000000.0,-0.16187,57927820080.0,3.62549,28603000000.0,68983000000.0
OXY.N,Occidental Petroleum Corp,80.38391,38.96,41.46562,39.72,69443000000.0,0.08176,75699600000.0,15.9988,43126000000.0,69443000000.0
GAZP.MM,Gazprom PAO,66.53715,21.559,21.55855,20.0,13436236000000.0,0.11296,3284699914875.0,18.70315,9319590000000.0,13436236000000.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,48.35487,66.859,,17.0,4659152000000.0,0.18897,1512905055900.0,45.08539,1706003000000.0,4659152000000.0
MGMC.OM,Muscat Gases Company SAOG,58.48112,,11.61364,,8925418.0,-0.05342,26160000.0,,7099543.0,8925418.0
IMO.TO,Imperial Oil Ltd,84.15283,,24.32432,,37218000000.0,0.30808,39871057477.44,32.20139,19524000000.0,37218000000.0
SU.TO,Suncor Energy Inc,76.66731,38.66,38.6606,35.0,78315000000.0,0.15192,55444896407.88,27.82419,41180000000.0,78315000000.0
ENI.MI,Eni SpA,46.09118,66.5,69.91738,54.44,138341000000.0,0.2439,63561901421.7,41.86801,58210000000.0,138341000000.0
600028.SS,China Petroleum & Chemical Corp,60.03438,25.0,26.40181,25.0,1382916000000.0,0.47955,534001924889.238,50.37801,570346000000.0,1382916000000.0
600617.SS,Shanxi Guoxin Energy Corp Ltd,73.19466,26.06711,26.03282,25.0,10786094778.34,3.32934,11153744987.7258,406.49956,1162792812.46,10786094778.34
PETR4.SA,Petroleo Brasileiro SA Petrobras,70.90351,18.96,18.2845,27.73333,752967000000.0,0.62595,214687732549.62,75.84146,347940000000.0,752967000000.0
OMVV.VI,OMV AG,53.53868,25.0,24.53077,18.0,31848000000.0,0.29481,11385818172.33,34.89859,10873000000.0,31848000000.0
REP.MC,Repsol SA,28.85124,40.0,33.61934,32.51111,55547000000.0,0.26034,24265133486.4,48.22651,27217000000.0,55547000000.0
LKOH.MM,NK Lukoil PAO,71.69839,,27.07019,,3599448710000.0,0.11091,1735149040200.0,13.72266,2584430420000.0,3599448710000.0
ONGC.NS,Oil and Natural Gas Corporation Ltd,59.00613,32.37576,32.37575,34.74167,3242383170000.0,0.14082,2726634701244.0,28.05424,1721515300000.0,3242383170000.0
YPFD.BA,YPF SA,68.95239,,64.60134,,135595000000.0,0.43899,115618729002.0,66.10697,48016000000.0,135595000000.0
SNGS.MM,Surgutneftegaz PAO,43.93309,,18.96603,,2384986000000.0,-0.21816,1210909254393.88,1.70784,2062494000000.0,2384986000000.0
SIBN.MM,Gazprom Neft' PAO,57.27322,,17.37322,,1563633000000.0,0.16725,695880548016.03,31.44904,952612000000.0,1563633000000.0
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,73.39345,,22.94486,,8432695000.0,0.63913,9509572812.5,72.27969,4235556000.0,8432695000.0
600256.SS,Guanghui Energy Co Ltd,72.01131,,24.15887,,28959691308.13,1.26235,45635251738.16,143.48016,9318729769.22,28959691308.13
EQNR.OL,Equinor ASA,55.03462,71.6,71.6763,58.59167,145572000000.0,0.16306,77248940990.3095,51.27578,58432000000.0,145572000000.0
ROSNP.BX,OMV Petrom SA,76.55874,,15.34693,,40046870000.0,0.00111,26611402095.783,6.53303,26670510000.0,40046870000.0
PTT.BK,PTT PCL,42.93559,29.29181,29.55666,31.41714,1805039120622.0,0.39541,816901692750.0,59.03087,682310867242.0,1805039120622.0
ELIr.AT,Elinoil Hellenic Petroleum Company SA,21.32683,,,,137789534.37,1.16358,20492191.8,139.7342,44353818.42,137789534.37
NVTK.MM,Novatek PAO,40.75084,,19.82425,,597995000000.0,0.42281,1213611508200.0,44.39563,370198000000.0,597995000000.0
PEA.TO,Pieridae Energy Ltd,,,,,,,,,,
ENER.KW,Energy House Holding Company KSCP,11.85014,,12.32458,,77885263.0,-0.06643,79500000.0,2.61697,62585442.0,77885263.0
PGN.WA,Polskie Gornictwo Naftowe i Gazownictwo SA,68.27257,,29.12514,,48384000000.0,0.16989,30385000000.0,26.9251,28447000000.0,48384000000.0
SHEL.L,Shell PLC,53.67568,,50.80376,40.0,357512000000.0,0.19247,232137756232.767,24.59977,180047000000.0,357512000000.0
ECHOE.L,Echo Energy PLC,,,,,,,,,,
DANA.AD,Dana Gas PJSC,27.26498,,25.35885,,3521000000.0,0.1978,1635715969.12521,32.04876,2540000000.0,3521000000.0
ROSN.MM,NK Rosneft' PAO,70.04382,,12.73585,,7531000000000.0,0.64342,2665865648088.18,74.85011,3130000000000.0,7531000000000.0
GALP.LS,Galp Energia SGPS SA,33.33498,31.0,36.23691,36.11667,13717418000.0,0.33855,9188503906.715,57.31229,5160906000.0,13717418000.0
GSP.MI,Gas Plus SpA,18.69897,,44.0899,,601247000.0,0.3292,213320695.0,35.97382,208601000.0,601247000.0
INAI.ZA,INA dd,61.67355,,,,25909000000.0,0.36979,35500000000.0,40.10097,12876000000.0,25909000000.0
601857.SS,PetroChina Co Ltd,70.38912,25.0,20.10325,22.0,2342004000000.0,0.34586,1388437597147.33,39.09425,1132850000000.0,2342004000000.0
ECO.CN,Ecopetrol SA,50.18224,,36.96537,,132427994000000.0,0.15454,152131784287200.0,29.3271,71119203000000.0,132427994000000.0
CVE.TO,Cenovus Energy Inc,74.55994,26.63,39.48812,35.23333,25224000000.0,0.42158,22977293620.8,66.81078,9946000000.0,25224000000.0
NIIS.BEL,NIS ad Novi Sad,59.29246,,11.96194,,345629972000.0,0.47514,151156990800.0,52.70831,168996521000.0,345629972000.0
IOG.L,Iog PLC,,,,,16495958.0,-0.07501,14138815.325,0.0,14937154.0,16495958.0
RNFT.MM,NK Russneft' PAO,68.23498,,14.69072,,123732180000.0,,,,-69003220000.0,123732180000.0
UNTC.PK,Unit Corp,92.54923,,38.71808,,4022390000.0,0.30835,2534871232.36,31.69046,2173392000.0,4022390000.0
XOM.N,Exxon Mobil Corp,67.99053,,39.43424,,333795000000.0,0.01165,389648100000.0,6.74648,165863000000.0,333795000000.0
TTEF.PA,TotalEnergies SE,40.49698,,54.75918,,225886000000.0,0.22431,121773419076.499,45.92088,93969000000.0,225886000000.0
BP.L,BP PLC,41.71221,,37.94606,,300466000000.0,0.24088,132136608509.174,40.75089,118546000000.0,300466000000.0
CVX.N,Chevron Corp,60.66906,,43.15808,,232982000000.0,-0.07017,211649564586.56,8.88183,136524000000.0,232982000000.0
TTLC.CI,Total Cote d'Ivoire SA,23.10243,,89.07216,,60011000000.0,-0.11388,46588435920.0,5.10969,22154000000.0,60011000000.0
OXY.N,Occidental Petroleum Corp,81.08394,,43.41224,,64210000000.0,0.15059,62068189345.1,19.03466,40016000000.0,64210000000.0
GAZP.MM,Gazprom PAO,66.48222,,19.6003,,11956836000000.0,0.12475,3406855241439.0,17.69578,8170733000000.0,11956836000000.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,54.72643,,24.1662,,4766207000000.0,0.33058,1855725683420.0,48.52441,1699116000000.0,4766207000000.0
MGMC.OM,Muscat Gases Company SAOG,105.12219,,11.59762,,9288450.0,-0.16315,25770000.0,,7492959.0,9288450.0
IMO.TO,Imperial Oil Ltd,81.4671,,24.5744,,29364000000.0,0.07114,36217905740.03,10.05679,16377000000.0,29481000000.0
SU.TO,Suncor Energy Inc,76.85501,,45.02408,,76401000000.0,0.1693,50099269887.09,28.11169,39215000000.0,76401000000.0
ENI.MI,Eni SpA,46.2209,,70.2454,,140192000000.0,0.25664,66650958952.2,38.75867,59060000000.0,140192000000.0
600028.SS,China Petroleum & Chemical Corp,60.76835,,26.29762,,1247271000000.0,0.49744,603113777139.593,51.71694,513374000000.0,1247271000000.0
600617.SS,Shanxi Guoxin Energy Corp Ltd,71.58462,,23.17289,,7515596459.53,2.3457,1140072119.41489,298.96321,1099577912.05,7515596459.53
PETR4.SA,Petroleo Brasileiro SA Petrobras,62.58539,,24.48024,,669031561000.0,0.4405,254851853697.86,58.72036,328421405000.0,669031561000.0
OMVV.VI,OMV AG,47.01016,,37.34148,,30519170000.0,0.25661,8952545447.085,34.23292,11161670000.0,30681297000.0
REP.MC,Repsol SA,43.479,,48.43266,,64921000000.0,0.65696,19666346643.38,88.64272,26763000000.0,64921000000.0
LKOH.MM,NK Lukoil PAO,67.58521,,20.38913,,3023505952500.0,0.04611,1708866635620.5,8.92462,2236656867500.0,3023505952500.0
ONGC.NS,Oil and Natural Gas Corporation Ltd,59.55912,,34.70645,,2534606420000.0,0.00666,2664179623368.0,13.39098,1525275700000.0,2534606420000.0
YPFD.BA,YPF SA,71.25918,,54.4425,,79949000000.0,0.3953,38932837317.0,54.71529,31260000000.0,79949000000.0
SNGS.MM,Surgutneftegaz PAO,44.44676,,19.4742,,2070963000000.0,-0.19007,1112393574712.81,1.47903,1813179000000.0,2070963000000.0
SIBN.MM,Gazprom Neft' PAO,57.08525,,17.76028,,1328210000000.0,0.17076,675730024550.28,28.00688,829382000000.0,1328210000000.0
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,56.78097,,26.75267,,9441296000.0,0.94362,7855734062.5,112.9534,3672398000.0,9441296000.0
600256.SS,Guanghui Energy Co Ltd,64.32067,,20.89525,,23212326665.03,1.0163,57436500850.52,123.41066,8098945125.0,23212326665.03
EQNR.OL,Equinor ASA,55.97909,,66.37639,,141003055905.087,0.13004,79326677879.6557,37.32416,57379111989.9335,141003055905.087
ROSNP.BX,OMV Petrom SA,74.74865,,18.2369,,38144620000.0,0.06886,24249342778.2135,10.1567,23438270000.0,38144620000.0
PTT.BK,PTT PCL,42.08586,,27.03263,,1629511031181.0,0.42725,948291475500.0,62.3627,603920176520.0,1629511031181.0
ELIr.AT,Elinoil Hellenic Petroleum Company SA,24.07275,,,,131965410.83,1.25336,40031258.4,143.80228,46332123.95,131965410.83
NVTK.MM,Novatek PAO,42.61756,,19.45601,,463133000000.0,0.39158,1050440423760.0,45.48113,290050000000.0,463133000000.0
PEA.TO,Pieridae Energy Ltd,81.17935,,,,,-0.08072,59162436.0,0.15024,,
ENER.KW,Energy House Holding Company KSCP,7.74305,,,,82860117.0,-0.08177,54750000.0,6.58667,62001834.0,82860117.0
PGN.WA,Polskie Gornictwo Naftowe i Gazownictwo SA,70.4876,,12.1224,,47929000000.0,0.30382,30739000000.0,37.54458,27193000000.0,47929000000.0
SHEL.L,Shell PLC,49.18526,,46.62654,,350294000000.0,0.109,221810219488.582,21.42898,174749000000.0,350294000000.0
ECHOE.L,Echo Energy PLC,73.89101,,,,23118105.25975,-0.0547,8613027.8161672,,19670374.68076,23118105.25975
DANA.AD,Dana Gas PJSC,26.95402,,27.63158,,3480000000.0,0.20314,790960082.775146,38.06372,2413000000.0,3480000000.0
ROSN.MM,NK Rosneft' PAO,66.20499,,22.17484,,3971000000000.0,0.28036,2862673810149.87,42.67873,2283000000000.0,3971000000000.0
GALP.LS,Galp Energia SGPS SA,32.28166,,30.41517,,13908574000.0,0.25278,9068972382.96,53.42882,5401174000.0,13908574000.0
GSP.MI,Gas Plus SpA,17.83802,,43.05257,,679100000.0,0.43178,222302619.0,45.29367,204771000.0,679100000.0
INAI.ZA,INA dd,66.36879,,35.61387,,28200000000.0,0.44563,39210000000.0,47.82667,14955000000.0,28200000000.0
601857.SS,PetroChina Co Ltd,72.37091,,21.69654,,2168837000000.0,0.3365,1650007378148.67,37.881,1064147000000.0,2168837000000.0
ECO.CN,Ecopetrol SA,48.91455,,31.94291,,113879578000000.0,0.06524,224497173569760.0,20.35225,64740881000000.0,113879578000000.0
CVE.TO,Cenovus Energy Inc,72.00611,,44.03825,,24216000000.0,0.56297,25132024206.79,68.1558,9782000000.0,24216000000.0
NIIS.BEL,NIS ad Novi Sad,53.64736,,4.08035,,292869349000.0,0.16984,120012454400.0,30.39998,133090660000.0,292869349000.0
IOG.L,Iog PLC,,,,,15224337.0,0.02862,,3.03603,13054997.0,15224337.0
RNFT.MM,NK Russneft' PAO,69.82527,,47.68212,,136386360000.0,,,,-91718605000.0,136386360000.0
UNTC.PK,Unit Corp,92.45177,,41.18065,,3761120000.0,0.38519,2187855006.95,38.56808,1974301000.0,3761120000.0
XOM.N,Exxon Mobil Corp,64.84299,,42.38639,,331052000000.0,0.02718,406272285923.4,10.59635,154396000000.0,331052000000.0
TTEF.PA,TotalEnergies SE,39.37387,,52.7654,,211915857605.178,0.25634,120598672020.065,47.19387,86660194174.7573,211915857605.178
BP.L,BP PLC,42.14,,33.00984,,292907000000.0,0.26418,135750618285.781,39.26633,111568000000.0,292907000000.0
CVX.N,Chevron Corp,58.53137,,43.301,,209474000000.0,-0.08063,211893938883.2,8.36464,121382000000.0,209474000000.0
TTLC.CI,Total Cote d'Ivoire SA,20.54118,,35.00428,,59130000000.0,-0.16446,56665440000.0,5.20909,23459000000.0,59130000000.0
OXY.N,Occidental Petroleum Corp,76.0842,,40.16636,,60044000000.0,0.05556,76064594818.4,15.60606,37620000000.0,60044000000.0
GAZP.MM,Gazprom PAO,63.52692,,16.67604,,10786140000000.0,0.13316,4056929905673.0,20.30085,7272846000000.0,10786140000000.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,56.56867,,15.16786,,4993784000000.0,0.3883,1813395697400.0,52.69747,1652438000000.0,4993784000000.0
MGMC.OM,Muscat Gases Company SAOG,46.43439,,11.60499,,9284541.0,-0.22365,22230000.0,,7872753.0,9284541.0
IMO.TO,Imperial Oil Ltd,75.35491,,23.49069,,25429000000.0,0.00038,38473295278.29,9.06088,13321000000.0,25554000000.0
SU.TO,Suncor Energy Inc,76.41788,,39.11444,,74777000000.0,0.18073,46252818154.66,27.92487,38600000000.0,74777000000.0
ENI.MI,Eni SpA,51.47294,,55.69741,,142945000000.0,0.4609,64125795604.76,49.00734,55472000000.0,142945000000.0
600028.SS,China Petroleum & Chemical Corp,59.93055,,25.11156,,1130053000000.0,0.42307,613147958527.327,47.25244,474399000000.0,1130053000000.0
600617.SS,Shanxi Guoxin Energy Corp Ltd,6.25685,,30.13259,,17933562.66,,1354248734.95804,,-59766211.71,17933562.66
PETR4.SA,Petroleo Brasileiro SA Petrobras,57.17691,,25.34631,,600096965000.0,0.31005,291564344780.12,46.82229,329838881000.0,600096965000.0
OMVV.VI,OMV AG,49.20622,,28.50072,,28413471000.0,0.34341,7671272720.88,37.01845,10153547000.0,28895799000.0
REP.MC,Repsol SA,51.80461,,35.91881,,70957000000.0,0.72807,28977194294.305,85.14414,23656000000.0,71775000000.0
LKOH.MM,NK Lukoil PAO,62.28946,,25.101,,2935835248000.0,0.09163,1448764392241.5,13.47642,2177537772000.0,2935835248000.0
ONGC.NS,Oil and Natural Gas Corporation Ltd,55.75258,,33.58276,,2321888670000.0,-0.09196,2295865773702.0,11.51905,1364391300000.0,2321888670000.0
YPFD.BA,YPF SA,71.35924,,41.40522,,60990000000.0,0.47336,65899558467.15,52.08369,23420000000.0,60990000000.0
SNGS.MM,Surgutneftegaz PAO,42.72658,,20.00506,,1896054000000.0,-0.22739,1031450800839.87,1.20008,1671003000000.0,1896054000000.0
SIBN.MM,Gazprom Neft' PAO,2.14572,,19.25987,,739895204000.0,1.03145,702565780507.02,112.4678,288046262000.0,739895204000.0
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,70.22297,,374.04332,,7794087000.0,0.17765,2315374250.0,22.68168,5591619000.0,7794087000.0
600256.SS,Guanghui Energy Co Ltd,56.59035,,20.69226,,18851446621.1,0.7917,40066544222.04,114.25854,6782738880.0,18851446621.1
EQNR.OL,Equinor ASA,53.03149,,63.31714,,128601546029.515,0.26999,81895614615.4168,46.07293,46665328112.9739,128601546029.515
ROSNP.BX,OMV Petrom SA,72.17157,,18.44317,,36488440000.0,0.08746,16426791417.15,12.85458,21102400000.0,36488440000.0
PTT.BK,PTT PCL,45.26298,,25.5162,,1401846072666.0,0.43611,908303280750.0,63.35482,555763111498.0,1401846072666.0
ELIr.AT,Elinoil Hellenic Petroleum Company SA,23.68787,,,,146319365.95,1.26122,15750393.93,137.96766,48482847.0,146319365.95
NVTK.MM,Novatek PAO,43.87062,,11.65266,,383432000000.0,0.29645,1196122385640.0,39.50563,241013000000.0,383432000000.0
PEA.TO,Pieridae Energy Ltd,64.36442,,29.4224,,52400180.0,-0.23545,83232187.5,0.2108,47661883.0,52400180.0
ENER.KW,Energy House Holding Company KSCP,3.46885,,,,92785350.0,-0.20619,79500000.0,4.16811,68189514.0,92785350.0
PGN.WA,Polskie Gornictwo Naftowe i Gazownictwo SA,75.48661,,7.53425,,38840000000.0,0.13805,24072000000.0,19.87595,25144000000.0,38840000000.0
SHEL.L,Shell PLC,45.06451,,44.01995,,337474000000.0,0.1618,235142479601.154,23.23931,158480000000.0,337474000000.0
ECHOE.L,Echo Energy PLC,62.02601,,,,26245873.13212,-0.15557,23926563.1690481,,23009693.5039,26245873.13212
DANA.AD,Dana Gas PJSC,31.20653,,37.83784,,3307000000.0,-0.14478,808892557.449357,1.16906,2220000000.0,3307000000.0
ROSN.MM,NK Rosneft' PAO,68.46665,,21.17647,,3463000000000.0,0.21198,2267798089281.66,36.45437,2068000000000.0,3463000000000.0
GALP.LS,Galp Energia SGPS SA,40.95787,,25.21862,,10155417000.0,1.19128,8775927356.98,129.2748,2885483000.0,10155417000.0
GSP.MI,Gas Plus SpA,16.44562,,1596.58793,,730249000.0,0.78518,222302619.0,84.32472,192654000.0,730249000.0
INAI.ZA,INA dd,65.83617,,24.11616,,30825000000.0,0.63453,38000000000.0,65.79882,14375000000.0,30825000000.0
601857.SS,PetroChina Co Ltd,71.53278,,20.76722,,1917528000000.0,0.23697,1742470637628.72,29.63616,1002885000000.0,1917528000000.0
ECO.CN,Ecopetrol SA,49.27986,,33.6516,,92277386000000.0,0.01201,170591640558420.0,15.45722,54688855000000.0,92277386000000.0
CVE.TO,Cenovus Energy Inc,68.505,,33.03126,,22194000000.0,0.58048,25491421651.76,63.31065,9406000000.0,22194000000.0
NIIS.BEL,NIS ad Novi Sad,55.3266,,-2.26172,,233554050000.0,0.10295,98651542000.0,42.53901,87607849000.0,233554050000.0
IOG.L,Iog PLC,,,,,14702921.0,-0.00888,,0.0,13291508.0,14702921.0
RNFT.MM,NK Russneft' PAO,0.01663,,,,262581565000.0,5.6846,,573.11161,30936381000.0,262581565000.0
UNTC.PK,Unit Corp,90.34645,,38.60007,,3256720000.0,0.16286,2234193964.8,16.32857,1947017000.0,3256720000.0
XOM.N,Exxon Mobil Corp,65.9641,,40.71263,,302510000000.0,0.04707,368711734643.52,9.8337,146839000000.0,302510000000.0
TTEF.PA,TotalEnergies SE,38.24434,,48.62372,,192252023276.035,0.2406,124560186462.778,49.6744,80815998929.8375,192252023276.035
BP.L,BP PLC,72.8012,,,,272262000000.0,0.2633,136537814601.644,47.27868,94987000000.0,272262000000.0
CVX.N,Chevron Corp,56.55927,,40.3026,,184769000000.0,-0.05287,183634100077.5,10.84575,105081000000.0,184769000000.0
TTLC.CI,Total Cote d'Ivoire SA,18.28279,,26.74546,,56359000000.0,-0.06554,52254979920.0,5.72373,27220000000.0,56359000000.0
OXY.N,Occidental Petroleum Corp,69.68264,,40.69846,,52432000000.0,0.07798,79714667764.8,15.7339,32484000000.0,52432000000.0
GAZP.MM,Gazprom PAO,59.4027,,21.86108,,9235993000000.0,0.13268,4583665567698.0,20.12507,6249751000000.0,9235993000000.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,59.87399,,36.79759,,4485729000000.0,0.46733,2172939282360.0,62.59389,1435070000000.0,4480620000000.0
MGMC.OM,Muscat Gases Company SAOG,24.87106,,11.46476,,9691792.0,-0.40945,22912213.5004278,,8184217.0,9691792.0
IMO.TO,Imperial Oil Ltd,154.56754,,25.18619,,20580000000.0,0.0909,34396925267.38,11.47893,11177000000.0,21689000000.0
SU.TO,Suncor Energy Inc,98.92868,,42.56668,,68607000000.0,0.31979,59861660515.8,35.03921,35192000000.0,68607000000.0
ENI.MI,Eni SpA,51.11785,,54.15589,,131860000000.0,0.4639,65447564033.84,49.85465,51206000000.0,131860000000.0
600028.SS,China Petroleum & Chemical Corp,63.18662,,24.79497,,985389000000.0,0.43205,669424407204.735,47.21217,421127000000.0,985389000000.0
600617.SS,Shanxi Guoxin Energy Corp Ltd,3.65761,,0.0,,60632012.75,,1479923857.8648,,-75918549.83,60632012.75
PETR4.SA,Petroleo Brasileiro SA Petrobras,54.19312,,25.10479,,516845748000.0,0.19637,380246721722.62,37.42303,306765182000.0,516845748000.0
OMVV.VI,OMV AG,58.41134,,38.07505,,26418932000.0,0.41597,9330000000.0,53.15364,9003954000.0,27314456000.0
REP.MC,Repsol SA,49.65918,,26.04276,,67631000000.0,0.57373,25455003203.55,84.70264,24250000000.0,68442000000.0
LKOH.MM,NK Lukoil PAO,65.02136,,20.49695,,2568567724000.0,0.14525,1473192568925.1,18.77936,1809770684000.0,2568567724000.0
ONGC.NS,Oil and Natural Gas Corporation Ltd,56.14796,,33.48069,,1930688690000.0,0.01101,2481947683812.0,5.71467,1153272460000.0,1930688690000.0
YPFD.BA,YPF SA,123.96059,,35.80931,,46589000000.0,0.27637,78859215016.55,40.90861,19040000000.0,46589000000.0
SNGS.MM,Surgutneftegaz PAO,38.22199,,19.12077,,1436610000000.0,-0.21236,1272662391605.18,0.03944,1354093000000.0,1436610000000.0
SIBN.MM,Gazprom Neft' PAO,50.41332,,19.65412,,998542664000.0,0.25749,608166504694.53,31.70882,576496204000.0,998542664000.0
YAKG.MM,Yakutskaya Toplivno-Energeticheskaya Kompaniya PAO,67.75341,,28.30466,,6550016000.0,0.32818,3136016587.52389,37.19573,4018394000.0,6550016000.0
600256.SS,Guanghui Energy Co Ltd,54.50767,,25.06677,,12682617178.0,1.0263,51928945671.33,118.46756,3867173722.0,12682617178.0
EQNR.OL,Equinor ASA,54.65568,,72.48549,,110498471263.183,0.33525,75114978665.4089,49.24912,37703115874.8154,110498471263.183
ROSNP.BX,OMV Petrom SA,68.39342,,15.95466,,34765260000.0,0.11701,18975776292.225,21.05841,18485580000.0,34765260000.0
PTT.BK,PTT PCL,43.06859,,25.06965,,1229109195675.0,0.41259,910661288000.0,69.52961,480703836342.0,1229109195675.0
ELIr.AT,Elinoil Hellenic Petroleum Company SA,26.55534,,42.159,,146448979.0,1.06531,31453131.6,118.79077,49541520.0,146448979.0
NVTK.MM,Novatek PAO,64.66356,,21.15031,,285173000000.0,0.36945,1019500465620.0,43.0465,147119000000.0,285173000000.0
PEA.TO,Pieridae Energy Ltd,65.70721,,,,40536750.0,-0.17681,82498547.2,6.90719,34103341.0,40536750.0
ENER.KW,Energy House Holding Company KSCP,33.71963,,41.35876,,113066442.0,-0.56009,135000000.0,12.60936,74980543.0,113066442.0
PGN.WA,Polskie Gornictwo Naftowe i Gazownictwo SA,76.27938,,16.31127,,33642407000.0,0.03587,21063000000.0,9.46376,23506046000.0,33642407000.0
SHEL.L,Shell PLC,44.2194,,42.0722,,322856000000.0,0.20582,206839874754.39,29.5397,148309000000.0,322856000000.0
ECHOE.L,Echo Energy PLC,50.93585,,,,28212630.00786,-0.2282,57251075.043205,,24705109.19089,28212630.00786
DANA.AD,Dana Gas PJSC,32.35568,,62.55924,,3221160390.97171,-0.07782,1329739442.94699,0.0,2166135751.04141,3221160390.97171
ROSN.MM,NK Rosneft' PAO,68.02653,,16.15599,,3015000000000.0,0.21329,2317821488577.9,40.20101,1759000000000.0,3015000000000.0
GALP.LS,Galp Energia SGPS SA,39.22926,,26.64399,,9147515000.0,1.07245,11058593875.14,114.48074,2613209000.0,9147515000.0
GSP.MI,Gas Plus SpA,12.20764,,,,913813000.0,1.11954,178515739.5,118.25758,200957000.0,913813000.0
INAI.ZA,INA dd,69.82485,,27.54173,,31231000000.0,0.77683,31747200000.0,80.16103,12791000000.0,31231000000.0
601857.SS,PetroChina Co Ltd,75.0247,,20.35953,,1650531000000.0,0.18046,1998517297570.84,23.21481,939043000000.0,1650531000000.0
ECO.CN,Ecopetrol SA,49.49995,,28.18027,,68769356000000.0,0.11619,165937301610800.0,21.31548,41328181000000.0,68769356000000.0
CVE.TO,Cenovus Energy Inc,67.2379,,17.10123,,19840000000.0,0.72627,25000028884.48,76.20012,8395000000.0,19840000000.0
NIIS.BEL,NIS ad Novi Sad,56.66488,,-36.17414,,178107989000.0,0.75242,77453690000.0,103.20211,47006795000.0,178107989000.0
IOG.L,Iog PLC,,,,,,,,,,
RNFT.MM,NK Russneft' PAO,0.01801,,,,269586464000.0,4.27724,,556.96063,34759172000.0,269586464000.0
UNTC.PK,Unit Corp,89.90391,,38.24999,,2669240000.0,0.09686,2226083372.8,9.76554,1710617000.0,2669240000.0
XOM.N,Exxon Mobil Corp,59.62378,,43.47414,,233323000000.0,-0.01089,323717280685.44,8.3238,110569000000.0,233323000000.0
TTEF.PA,TotalEnergies SE,40.38261,,47.3199,,182890969478.326,0.27005,151215567793.871,49.36775,75233350512.5122,182890969478.326
BP.L,BP PLC,82.74427,,33.29486,,235968000000.0,0.25744,181819195493.021,33.91047,101613000000.0,235968000000.0
CVX.N,Chevron Corp,58.60006,,42.98899,,164621000000.0,0.01828,154462561155.58,11.359,91914000000.0,164621000000.0
TTLC.CI,Total Cote d'Ivoire SA,15.78772,,21.42024,,59920000000.0,-0.25885,46944168960.0,3.64801,29194000000.0,59920000000.0
OXY.N,Occidental Petroleum Corp,70.39951,,40.94879,,44229000000.0,0.05391,66029129404.55,9.58881,29081000000.0,44229000000.0
GAZP.MM,Gazprom PAO,58.54343,,,,8368528000000.0,0.23432,4337224298409.0,28.77629,5326515000000.0,8368528000000.0
MOLB.BU,MOL Magyar Olajes Gazipari Nyrt,61.31144,,47.03296,,4167607000000.0,0.50907,1776814228000.0,60.55986,1299141000000.0,4167607000000.0
MGMC.OM,Muscat Gases Company SAOG,36.06737,,11.86214,,6884458.0,-0.22584,12075000.0,,5536086.0,6884458.0
IMO.TO,Imperial Oil Ltd,73.55348,,28.22727,,17473000000.0,-0.03952,34463416000.0,1.48321,9439000000.0,17617000000.0
SU.TO,Suncor Energy Inc,77.70768,,15.01057,,69746000000.0,0.40981,58027491195.06,42.46138,34111000000.0,69746000000.0
ENI.MI,Eni SpA,50.85128,,55.95958,,117529000000.0,0.45641,71295387992.8,49.54946,46073000000.0,117529000000.0
600028.SS,China Petroleum & Chemical Corp,68.23686,,22.7506,,886896000000.0,0.59288,1087285203857.77,61.75212,380461000000.0,886896000000.0
600617.SS,Shanxi Guoxin Energy Corp Ltd,26.91404,,,,51096000.0,,1011259561.66661,,-69761000.0,51096000.0
