Instrument,Company Common Name,Country of Headquarters,Credit Combined Implied Rating,Return on Capital Employed - %,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity,Environmental Expenditures,Research And Development,Total Revenue,Capital Expenditures - Total,Year
MPCES.OL,MPC Energy Solutions NV,Netherlands,B,,,,,,,,,,,,,,,,2014.0
GWIND.IS,Galata Wind Enerji Anonim Sirket,Turkey,A,,,,,,,,,,,,,,,,2014.0
AMPS.N,Altus Power Inc,United States of America,BB-,,,,,,,,,,,,,,,,2014.0
RNW.OQ,Renew Energy Global PLC,United Kingdom,B,,,,,,,,,,,,,,,,2014.0
SOLR.TA,Solaer Renewable Energies Ltd,Israel,BB+,,,,,,,,,,,,,,,,2014.0
DEL.AX,Delorean Corporation Ltd,Australia,BB-,,,,,,,,,,,,,,,,2014.0
BIOEN.IS,Biotrend Cevre ve Enerji Yatirimlari AS,Turkey,BB,,,,,,,,,,,,,,,,2014.0
PRIM.TA,Prime Energy PE Ltd,Israel,B+,,,,,,,,,,,,,,,,2014.0
NSOL.OL,Norsk Solar AS,Norway,BB,,,,,,,,,,,,,,,,2014.0
MAGEN.IS,Margun Enerji Uretim Sanayi ve Ticaret AS,Turkey,BB+,,,,,,,,,,,,,,,,2014.0
CV.BK,Clover Power PCL,Thailand,BBB-,,,,,,,,,,,,,,,,2014.0
ECNER.MC,Grupo Ecoener SA,Spain,BB,,,,,,,,,,,,,,,,2014.0
OPDE.MC,Opdenergy Holding SA,Spain,CCC,,,,,,,,,,,,,,,,2014.0
001258.SZ,Xinjiang Lixin Energy Co Ltd,China,BB-,,,,,,,,,,,,,,,,2014.0
ANE.MC,Corporacion Acciona Energias Renovables SA,Spain,BBB+,,,,,,,,,,,,,,,,2014.0
HDF.PA,Hydrogene De France SA,France,AA-,,,,,,,,,,,,,,,,2014.0
CONSE.IS,Consus Enerji Isletmeciligi ve Hizmetleri AS,Turkey,,,,,,,,,,,,,,,,,2014.0
GVOLT.LS,Greenvolt Energias Renovaveis SA,Portugal,BB+,,,,,,,,,,,,,,,,2014.0
ECNR.TA,Econergy Renewable Energy Ltd,Israel,BB+,,,,,,,,,,,,,,,,2014.0
NAPZ.BU,NAP Nyrt,Hungary,,,,,,,,,,,,,,,,,2014.0
EGR1T.TL,Enefit Green AS,Estonia,A,,,,,,,,,,,,,,,,2014.0
ASAB.ST,Advanced SolTech Sweden AB (publ),Sweden,B,,,,,,,,,,,,,,,,2014.0
COMR3.SA,Comerc Participacoes SA,Brazil,,,,,,,,,,,,,,,,,2014.0
SPNEC.PS,Solar Philippines Nueva Ecija Corp,Philippines,A+,,,,,,,,,,,,,,,,2014.0
9522.T,Renewable Japan Co Ltd,Japan,CCC+,,,,,,,,,,,,,,,,2014.0
6873.TWO,HD Renewable Energy Co Ltd,Taiwan,AA-,,,,,,,,,,,,,,,,2014.0
MEGA3.SA,Omega Energia SA,Brazil,BB,4.46617828062525,78.64003,,-18.96941,,811504000.0,0.82145,,93.6005,299208000.0,811504000.0,,,114453000.0,111947000.0,2014.0
TGE.BK,Thachang Green Energy PCL,Thailand,BB+,,,,,,,,,,,,,,,,2014.0
6869.TWO,J&V Energy Technology Co Ltd,Taiwan,BBB,,,,,,,,,,,,,,,,2014.0
389260.KQ,Dae Myoung Energy Co Ltd,Korea; Republic (S. Korea),A-,,,,,,,,,,,,,,,,2014.0
ZAZZb.ST,ZAZZ Energy of Sweden AB (publ),Sweden,,,,,,,,,,,,,,,,,2014.0
HUNER.IS,Hun Yenilenebilir Enerji Uretim AS,Turkey,,,,,,,,,,,,,,,,,2014.0
ASLAG.PS,RASLAG Corp,Philippines,BBB,,,,,,,,,,,,,,,,2014.0
7590.TWO,Yiho International Co Ltd,Taiwan,BBB+,,,,,,,,,,,,,,,,2014.0
ENRS.MC,Enerside Energy SA,Spain,A-,,,,,,,,,,,,,,,,2014.0
AURE3.SA,Auren Energia SA,Brazil,BBB-,,,,,,,,,,,,,,,,2014.0
0295.HK,Kong Sun Holdings Ltd,Hong Kong,BB,-4.18982726916213,13.34381,,,,252102000.0,-0.35297,240831626.553729,3.71353,227573000.0,252102000.0,,,7364000.0,1992000.0,2013.0
ENGEPEC1.LM,Enel Generacion Peru SAA,Peru,A,15.9273604011769,81.19604,,26.93048,,4618464000.0,0.23006,5848854914.7,30.34462,2568481000.0,4618464000.0,,,1432443000.0,54516000.0,2013.0
PSWW.PK,Principal Solar Inc,United States of America,CCC+,,,,,,,,,,,,,,,,2013.0
ABIO.PA,Albioma SA,France,BBB-,8.89265377381163,67.33705,37.0,35.365,34.5,1122599000.0,1.05554,491479098.15,132.09972,329028000.0,1122599000.0,,,363339000.0,33980000.0,2013.0
WEB.V,Westbridge Energy Corp,Canada,AA,-17.4313829196669,74.06775,,,,10098022.0,-0.24341,5913547.71,,9773017.0,10098022.0,,,53320.0,842905.0,2013.0
PWCO.PK,PwrCor Inc,United States of America,B+,270.747952195515,,,,,863150.0,-4.08,5895418.77,,85264.0,863150.0,,,992200.0,,2013.0
BLX.TO,Boralex Inc,Canada,BBB+,4.02059585988921,56.17473,,,,1422727000.0,1.98787,408571758.62,231.14411,356448000.0,1422727000.0,,4145000,172032000.0,117145000.0,2013.0
REVV.V,ReVolve Renewable Power Corp,Canada,AA,-67.3235407978279,0.26893,,,,569141.021,-1.10304,376054.602643012,,482385.95221,569141.021,,,0.0,46359.29611,2013.0
NSEN.AS,New Sources Energy NV,Netherlands,A-,,,,,,40000.0,-8.75,13942058.48,,4000.0,40000.0,,,0.0,,2013.0
KPO.AX,Kalina Power Ltd,Australia,A+,-42.0096295273731,1.04142,,,,30470543.0,0.54803,127188826.56,77.0228,-2066356.0,30470543.0,,,485420.0,12979.0,2013.0
NKWh.V,Oceanic Wind Energy Inc,Canada,BB+,-27.7826650517414,0.0,,,,3738048.0,-1.18516,3574606.49,,3124682.0,3738048.0,,82840,0.0,,2013.0
000591.SZ,CECEP Solar Energy Co Ltd,China,BBB-,10.0940322240913,14.79427,,30.08752,,3171177879.98,1.73111,2254720370.43,301.23252,456122663.74,3171177879.98,,,4635308230.0,104961450.9,2013.0
EP.BK,Eastern Power Group PCL,Thailand,BBB+,13.1482700419827,72.2448,,8.78525,,2140931172.16,1.19426,1931240326.56,129.59074,785056379.6,2140931172.16,,,617245330.0,406754827.26,2013.0
000862.SZ,Ning Xia Yin Xing Energy Co Ltd,China,BB+,5.03191225912452,84.47776,,,,9234169703.74,4.81941,1769175000.0,505.46675,1286046192.33,9234169703.74,,1312140,1324088260.0,434709828.13,2013.0
HRPKk.DE,7C Solarparken AG,Germany,BBB-,4.01406867896562,86.60847,,8.0,,107217000.0,3.12478,10395860.16,354.33806,22446000.0,107217000.0,,,10236000.0,2156000.0,2013.0
1004.HK,China Smarter Energy Group Holdings Ltd,Hong Kong,BB-,-1.86872375387986,90.74166,,,,1067168000.0,-0.04724,6390782980.0,4.84584,635574000.0,1067168000.0,,,80721000.0,9000.0,2013.0
ELLO.A,Ellomay Capital Ltd,Israel,BB,2.24476971850713,63.75213,,2.37127,,106897452.2,0.30152,75768702.7980916,37.4074,72559746.82,106897452.2,,,9777147.0,6892863.96163,2013.0
EGIE3.SA,Engie Brasil Energia SA,Brazil,BBB+,23.3789547905619,76.82002,28.22,28.22398,29.0,12637626000.0,0.42357,23459554380.48,65.17826,5361373000.0,12637626000.0,46274000.0,,5568658000.0,543252000.0,2013.0
MLHYE.EUA,Hydro Exploitations SA,France,,1.52215975491741,55.51169,,75.97023,,7286064.0,0.57155,6167462.4,66.52378,3818075.0,7286064.0,,,1542900.0,658169.0,2013.0
000791.SZ,GEPIC Energy Development Co Ltd,China,BB+,6.69682674500431,92.07513,,7.91031,,13179413472.49,2.38566,5177872143.0,242.5015,3517252536.45,13179413472.49,,,1600676740.0,682287191.14,2013.0
PERENAC1.LM,Peruana de Energia SAA,Peru,A-,17.6458734084455,0.40302,,-0.15804,,67738000.0,0.01071,,9.74399,59647000.0,67738000.0,,,9715000.0,220000.0,2013.0
CCE.AX,Carnegie Clean Energy Ltd,Australia,BB+,-4.15287556592501,0.40465,,,,102389814.0,-0.11446,86022514.65,3.69187,94129319.0,102389814.0,,167160,1915660.0,124897.0,2013.0
1185.HK,China Energine International Holdings Ltd,Hong Kong,B,-6.22904038826053,7.52137,,12.87932,,5204318000.0,0.65916,2778296967.6,97.39704,1933581000.0,5204318000.0,,,1329644000.0,31240000.0,2013.0
IFEC.BK,Inter Far East Energy Corporation PCL,Thailand,CCC+,1.98525329780173,22.67949,,40.01979,,1891909236.0,-0.2841,3184494081.72,13.21963,1539093879.0,1891909236.0,,,589148360.0,54022595.0,2013.0
MEGA.KL,Mega First Corporation Bhd,Malaysia,A,19.3695946162316,28.03953,,30.80106,,998255000.0,-0.09313,528551900.0,8.81055,679571000.0,998255000.0,,,628758000.0,50879000.0,2013.0
0182.HK,Concord New Energy Group Ltd,Hong Kong,BBB+,1.4959877302171,22.72086,,21.73397,,7691222805.11491,0.09579,3881542903.43634,46.50304,3894644592.47079,7691222805.11491,,,1492098325.0,282979538.12658,2013.0
0451.HK,GCL New Energy Holdings Ltd,Hong Kong,CCC+,7.86407930855176,56.88291,,,,,3.16116,799041888.073848,337.07215,,,,,1154417432.0,,2013.0
ARN.MI,Alerion Clean Power SpA,Italy,BB,3.44551930969443,55.86179,,,,435908000.0,1.36399,142939133.12,170.39803,141770000.0,435908000.0,,,51973000.0,204000.0,2013.0
NOVA.BK,Nova Empire PCL,Thailand,BB+,-1.25117839806971,17.17356,,24.63846,,1073183103.0,-0.59377,624000000.0,,1019571646.0,1073183103.0,,,776306910.0,24471013.0,2013.0
DWLP.PSX,Dawood Lawrencepur Ltd,Pakistan,A,-1.49184425185599,3.57256,,0.72605,,5753095000.0,0.02219,4957907263.05,4.89323,5348374000.0,5753095000.0,,,31987000.0,28935000.0,2013.0
038870.KQ,EcoBio Holdings Co Ltd,Korea; Republic (S. Korea),A-,10.8553037171058,1.70304,,45.91366,,151825462645.0,0.99483,68214603240.0,187.29711,33850320740.0,151825462645.0,,965890000,42903260300.0,115595762.0,2013.0
NEVE.PK,Nevo Energy Inc,United States of America,,,,,,,,,,,,,,,,,2013.0
MDIP.WA,MDI Energia SA,Poland,BBB+,-82.3896011396011,92.98083,,,,193285000.0,16.52702,4405519.29,1681.85829,7110000.0,193285000.0,,,36801000.0,4300000.0,2013.0
600868.SS,Guangdong Meiyan Jixiang Hydropower Co Ltd,China,AA-,2.09535414663021,85.63087,,-3.62282,,2884921070.94,0.20394,4479630882.44,22.30938,2197103535.9,2884921070.94,,585790,486234540.0,47383569.86,2013.0
600674.SS,Sichuan Chuantou Energy Co Ltd,China,A-,3.05093865295216,23.44478,,2.05523,,17219458742.13,0.49828,22988224083.6,54.71879,10487612419.36,17219458742.13,,10461770,1148091860.0,29615009.66,2013.0
ENLT.TA,Enlight Renewable Energy Ltd,Israel,BBB-,9.8861845723026,22.62043,,38.52902,,919766000.0,3.20047,251772883.608,367.72405,110389000.0,919766000.0,,134000,242114000.0,2092000.0,2013.0
PANP.BU,PannErgy Nyrt,Hungary,A,-4.11369717896475,75.66648,,,,16739197000.0,0.23209,7242801320.0,30.01058,9507187000.0,16739197000.0,,,1279784000.0,3045058000.0,2013.0
MORG.BO,Morgan Ventures Ltd,India,BB,3.10092778116911,25.70811,,1.18369,,595888960.0,0.1289,77605808.0,13.12029,410582794.0,595888960.0,,,41344020.0,3950858.0,2013.0
NPI.TO,Northland Power Inc,Canada,BBB,5.57529605379083,68.36786,,20.99535,,3063226000.0,1.78013,2039937325.56,192.8717,879483000.0,3063226000.0,,,557238000.0,419713000.0,2013.0
000040.SZ,Tunghsu Azure Renewable Energy Co Ltd,China,BB-,8.38278007061702,1.8228,,38.71458,,3983137876.7,0.6515,1958204327.88,89.52607,1262658327.17,3983137876.7,,,815110770.0,4700120.85,2013.0
000722.SZ,Hunan Development Group Co Ltd,China,AA-,4.71021574675814,63.58329,,0.0,,2864108095.65,0.11187,3314090133.48,23.21461,2255285457.31,2864108095.65,,,240185100.0,72004376.56,2013.0
NWPN.PK,Now Corp,United States of America,B+,,,,,,,,,,,,,,,,2013.0
CHAR.SI,Charisma Energy Services Ltd,Singapore,B+,-1.38207609704362,1.98093,,,,56640000.0,-0.79945,536618498.98654,2.6471,29668000.0,56640000.0,,,0.0,2000.0,2013.0
EMAE4.SA,EMAE Empresa Metropolitana de Aguas e Energia SA,Brazil,BBB+,-3.59073669818754,8.4451,,2.24544,,1131544000.0,-0.01713,212445733.0,9.00991,752671000.0,1131544000.0,,,202697000.0,59991000.0,2013.0
0686.HK,Beijing Energy International Holding Co Ltd,Hong Kong,BB-,-5.50525450420032,42.75783,,,,4677304978.60404,3.95576,4116489075.40842,436.79958,436873866.59444,4677304978.60404,,,29898080.0,224603857.06189,2013.0
600163.SS,Zhongmin Energy Co Ltd,China,A-,-24.02618512751,56.31677,,,,2614328086.73,2.03437,2640397053.6,218.64615,712185007.23,2614328086.73,,,1408904110.0,42374742.45,2013.0
ECVG.DE,Encavis AG,Germany,BB-,6.43875819737542,68.80077,,11.29919,,593191000.0,1.39782,250610823.84,157.63376,199042000.0,593191000.0,,,56991000.0,673000.0,2013.0
AWSL.PK,Atlantic Power and Infrastructure Corp,Canada,,,,,,,,,,,,,,,,,2013.0
WBRE.PK,Wild Brush Energy Inc,United States of America,,,,,,,,,,,,,,,,,2013.0
BEP_u.TO,Brookfield Renewable Partners LP,Bermuda,CCC+,3.62013544299847,92.59956,,0.46296,,16999000000.0,0.85191,3488662595.27307,87.88482,2726000000.0,16999000000.0,,,1706000000.0,226000000.0,2013.0
900957.SS,Shanghai Lingyun Industries Development Co Ltd,China,A-,-1.20331675383371,30.03588,,0.0,,395434522.47,-0.17692,1278208486.5,,387759286.23,395434522.47,,,11343710.0,113348289.88,2013.0
GESI.PK,General European Strategic Investments Inc,United States of America,,,,,,,,,,,,,,,,,2013.0
CGEI.PK,CGE Energy Inc,United States of America,,,,,,,,,,,,,,,,,2013.0
AKSUE.IS,Aksu Enerji ve Ticaret AS,Turkey,BBB+,1.83880289115416,7.55341,,,,41208132.0,-0.04915,55290240.0,8.2409,34062873.0,41208132.0,,,2282320.0,3340183.0,2013.0
ORRON.ST,Orron Energy AB,Sweden,A,14.6671614100186,89.55381,74.6875,74.6875,71.16667,4361400000.0,0.91309,6207334755.23169,97.81339,1207000000.0,4361400000.0,,,1132000000.0,1734600000.0,2013.0
0987.HK,China Renewable Energy Investment Ltd,Hong Kong,A,0.583960211178976,42.66527,,18.77611,,2701797000.0,0.2598,525470920.989,41.11092,1788331000.0,2701797000.0,,,113744000.0,78290000.0,2013.0
2743.T,Pixel Companyz Inc,Japan,BBB-,-6.96340602175025,8.28556,,,,7225255000.0,1.12403,1478830200.0,189.16597,1558737000.0,7225255000.0,,,20462354000.0,576838000.0,2013.0
MENC.PK,Millennium Energy Corp,United States of America,,,,,,,,,,,,,,,,,2013.0
RNE.AX,Renu Energy Ltd,Australia,BBB,-29.8032793514082,22.33708,,,,51560000.0,-0.88023,20486366.11,,38416000.0,51560000.0,0.0,8425000,1507000.0,15121000.0,2013.0
FNEC.PK,First National Energy Corp,Canada,B-,,,,,,15188.0,,4983261.4,,-538155.0,15188.0,,14820,0.0,,2013.0
ADXR.MC,Audax Renovables SA,Spain,B,3.37912633760041,61.17262,,45.84394,,364328000.0,1.17017,54601473.42,135.59906,128422000.0,364328000.0,,,37866000.0,5317000.0,2013.0
600900.SS,China Yangtze Power Co Ltd,China,AA,11.2233091898871,86.89602,,22.81785,,149607197273.74,0.72763,104280000000.0,75.65874,78179034743.95,149607197273.74,,19278750,22697637370.0,770802292.77,2013.0
002015.SZ,GCL Energy Technology Co Ltd,China,BB,-42.0104141268636,34.12355,,,,2630426679.86,2.71905,1264496500.7,430.88672,413766961.49,2630426679.86,,,2078552190.0,30630698.17,2013.0
ORA.N,Ormat Technologies Inc,United States of America,BB,5.29949073440106,80.63056,,26.50188,,2159433000.0,1.3696,1236797925.21,144.65724,732740000.0,2159433000.0,,4094000,533239000.0,204628000.0,2013.0
PIF.TO,Polaris Renewable Energy Inc,Canada,BBB,1.40133960608739,89.36057,,,,457959404.0,1.45707,29531279.712806,159.5902,162266511.0,457959404.0,,,46210050.0,27720916.0,2013.0
PRIME.BK,Prime Road Power PCL,Thailand,BBB,-4.21042192585027,31.45529,,,,1850349459.0,0.11163,1382134063.78,16.13764,1419628737.0,1850349459.0,,,454897300.0,185985908.0,2013.0
1711.T,SDS Holdings Co Ltd,Japan,B,-44.2745486194068,1.63843,,,,1656949000.0,-1.34072,3021327720.0,109.49757,209643000.0,1656949000.0,,752000,1504793000.0,1000000.0,2013.0
SUPER.BK,Super Energy Corporation PCL,Thailand,BBB,-0.079460146320077,7.20381,,-1.43963,,746761641.96,-0.49196,2426359500.18,0.38926,707205024.08,746761641.96,,,91042540.0,2626135.77,2013.0
002039.SZ,Guizhou Qianyuan Power Co Ltd,China,BB+,2.95257129265096,97.39148,,,,17169687368.85,3.78141,2117430723.2,385.46188,1614131526.66,17169687368.85,,,1017416610.0,1244742531.79,2013.0
9514.T,EF On Inc,Japan,BB,17.9789590102623,72.14792,-5.812,-5.81162,,12710000000.0,3.03979,16528913600.0,364.31661,2312000000.0,12710000000.0,,10000000,7622000000.0,173000000.0,2013.0
JAPR.NS,Jaiprakash Power Ventures Ltd,India,BBB,5.06208461800729,86.74007,,8.26479,,382283300000.0,3.97691,41572743638.6,406.28748,63513300000.0,382283300000.0,,,28894000000.0,61635300000.0,2013.0
WWPW.PK,Wind Works Power Corp,Canada,CC,,,,,,0.0,,4255248.0,,-9000.0,0.0,,0,0.0,0.0,2013.0
PEPP.WA,Polenergia SA,Poland,BBB,2.32931454176526,58.25562,,-7.99854,,949244000.0,0.22151,596791076.0,62.59527,514223000.0,949244000.0,,,139474000.0,100164000.0,2013.0
VLL.CM,Vidullanka PLC,Sri Lanka,A,13.6700269625248,52.64401,,9.34684,,1586881581.0,0.29442,1670442175.5,31.79834,1135738849.0,1586881581.0,,,465289600.0,181229881.0,2013.0
PSPW.PK,3Power Energy Group Inc,United States of America,CC,,,,,,142.0,,4011490.0,,-3259493.0,142.0,,,0.0,,2013.0
ANFI.BO,Anjani Finance Ltd,India,A,1.66426795121757,1.86064,,-19.52058,,156178874.0,0.36389,26879745.0,36.71181,112224818.0,156178874.0,,,8470810.0,0.0,2013.0
JYCH.BO,Jayshree Chemicals Ltd,India,A-,-2.44501096725145,78.55279,,,,1932021082.0,3.15578,152497576.4,323.91975,347839556.0,1932021082.0,,,1219192350.0,64122282.0,2013.0
3777.T,FHT Holdings Corp,Japan,BBB,-105.922977714294,0.68888,,,,216584000.0,-0.7989,3170533440.0,0.0,183134000.0,216584000.0,,,443590000.0,4300000.0,2013.0
SPCG.BK,SPCG PCL,Thailand,AA+,9.13662613879713,84.16155,9.10071,9.10071,12.29,22500827000.0,4.65619,15959829912.0,473.83135,2639460000.0,22500827000.0,,,2472864000.0,8340115000.0,2013.0
VSH.HM,Vinh Son Song Hinh Hydropower JSC,Vietnam,A-,5.04678568545108,65.27756,,12.70514,,3664952232180.0,0.09362,3052370440800.0,31.34795,2610492450088.0,3664952232180.0,,,283679694910.0,550150523731.0,2013.0
VEER.BO,Veer Energy & Infrastructure Ltd,India,A-,6.83697676621891,20.38879,,21.77844,,814320000.0,0.22297,301601800.0,24.26031,424232000.0,814320000.0,,0,659499000.0,16905000.0,2013.0
SOLR.V,Solar Alliance Energy Inc,Canada,A-,,0.23068,,,,11505847.0,,3178131.92,,-19588001.0,11505847.0,,,0.0,,2013.0
TBC.HM,Thacba Hydro Power JSC,Vietnam,AA+,17.0095411635573,50.69757,,11.65198,,938294381912.0,-0.37392,1079500000000.0,0.0,908309384437.0,938294381912.0,,,299265712680.0,7981749767.0,2013.0
NWF.NZ,NZ Windfarms Ltd,New Zealand,A+,-0.285541632634088,55.79248,,,,77100000.0,-0.00342,14403179.2,15.77279,64681000.0,77100000.0,,,9338000.0,210000.0,2013.0
INWI.NS,Indowind Energy Ltd,India,BBB,0.886090155954003,63.38071,,65.88668,,3219940815.0,0.40927,314095201.0,43.97433,1705367009.0,3219940815.0,,,234045450.0,218728313.0,2013.0
1407.T,West Holdings Corp,Japan,BBB+,58.5142493455342,5.99257,36.71142,36.71142,,44181334000.0,-0.09923,39136982400.0,165.22756,11108827000.0,44181334000.0,,13298000,58827128000.0,1229902000.0,2013.0
VPEL.CM,Vallibel Power Erathna PLC,Sri Lanka,AAA,28.1939944265644,81.74129,,3.15686,,3188348428.0,0.32264,4183814493.6,44.81406,1997707779.0,3188348428.0,,,1064991100.0,15349814.0,2013.0
VLTSA.PA,Voltalia SA,France,BB,0.153777611704345,60.98799,,,,201602000.0,0.9472,119991061.1,135.41153,67405000.0,201602000.0,,,18587000.0,63642000.0,2013.0
KEGN.NR,Kenya Electricity Generating Company Ltd,Kenya,A-,3.13489296486057,83.62558,,32.02601,,250205524000.0,1.64374,23852221797.6,177.44162,76709673000.0,250205524000.0,,,17423771000.0,61138000000.0,2013.0
0527.HK,China Ruifeng Renewable Energy Holdings Ltd,Hong Kong,BB-,6.34467790787461,74.82185,,0.64462,,3134381000.0,1.77047,1662640233.97354,192.24143,383050000.0,3134381000.0,,,603341000.0,216803000.0,2013.0
REO.CD,Reservoir Capital Corp,Canada,AA,-122.431960942049,77.69274,,,,1720870.0,-0.08213,1181064.08,15.70833,741497.0,1720870.0,,0,0.0,43916.0,2013.0
SNFL.TA,Sunflower Sustainable Investments Ltd,Israel,BBB,4.6256061482185,49.14168,,,,1051820000.0,1.876,328527113.02,245.20124,290863000.0,1051820000.0,,,99910000.0,56946000.0,2013.0
ESUN.S,Edisun Power Europe AG,Switzerland,BBB-,2.31265287969758,83.57473,,,,66282000.0,3.5099,9478734.0,411.12087,12526000.0,66282000.0,,,8593000.0,279000.0,2013.0
HNOI.PK,HNO International Inc,United States of America,B,,,,,,,,,,,,,,,,2013.0
HJS.HN,Nam Mu Hydropower JSC,Vietnam,AA+,15.0092955859931,88.34032,,1.75782,,624596640929.0,1.56676,158999883400.0,175.93195,184495750099.0,624596640929.0,,,125120781840.0,2116789829.0,2013.0
SJD.HM,Can Don Hydro Power JSC,Vietnam,AA+,17.8942603648206,73.04169,,5.13133,,1099505814918.0,0.22121,728346745000.0,31.74114,815012274179.0,1099505814918.0,,,309695568700.0,50570000.0,2013.0
TMP.HM,Thac Mo Hydropower JSC,Vietnam,AA,19.0410007823454,54.97606,,23.15888,,1456765449588.0,0.024,1176000000000.0,36.18358,937186831672.0,1456765449588.0,,,496638052140.0,43049212840.0,2013.0
SLGN.TA,Solegreen Ltd,Israel,BB-,-24.9386142841892,4.63929,,,,4311000.0,-1.45543,6244248.484,,1963000.0,4311000.0,,,0.0,,2013.0
SLRS.MC,Solaria Energia y Medio Ambiente SA,Spain,BB+,-9.358987601689,81.49148,,,,194035000.0,5.2468,76275114.48,590.26956,19773000.0,194035000.0,,,34492000.0,4254000.0,2013.0
NCEN.PK,Nacel Energy Corp,United States of America,CCC,,,,,,,,,,,,,,,,2013.0
INE.TO,Innergex Renewable Energy Inc,Canada,BB+,3.60161502783308,66.61202,,31.46835,,2377074000.0,2.08118,1013942056.6,213.26376,584506000.0,2377074000.0,2461000.0,,198259000.0,103707000.0,2013.0
TENr.AT,Terna Energy SA,Greece,BBB,3.64515316175482,70.75151,55.98787,55.98787,33.4,1088470000.0,0.38955,418674152.0,58.98106,619720000.0,1088470000.0,,2330000,139595000.0,35959000.0,2013.0
002210.SZ,Shenzhen Feima International Supply Chain Co Ltd,China,BB+,17.6711020486656,0.39377,,17.91269,,12638253492.51,5.82154,2701062000.0,1564.7884,696696815.87,12638253492.51,,,29850483100.0,5918809.57,2013.0
BLSP.PK,Blue Sphere Corp,United States of America,CCC+,-4519.70802919708,2.06718,,,,387000.0,-1.3197,22605000.0,,269000.0,387000.0,,,0.0,8000.0,2013.0
FIGP.WA,Figene Capital SA,Poland,BBB-,,,,,,,,,,,,,,,,2013.0
EA.BK,Energy Absolute PCL,Thailand,A-,4.95202069681239,70.58139,,5.22589,,11465572145.0,1.03245,28534500000.0,139.28167,4359544923.0,11465572145.0,,,3936426330.0,6625217865.0,2013.0
EDPR.LS,EDP Renovaveis SA,Spain,BBB,4.08489673922498,77.31034,25.11402,25.17641,33.66667,13058355000.0,0.57977,3367981813.482,62.17305,5671266000.0,13058355000.0,11000000.0,,1316347000.0,809705000.0,2013.0
RNEW11.SA,Renova Energia SA Em Recuperacao Judicial,Brazil,B-,3.84876646560759,84.56791,,61.38785,,3672179000.0,2.015,3778031075.0,238.88227,1000600000.0,3672179000.0,,,226011000.0,1134650000.0,2013.0
01C.WA,01Cyberaton Proenergy SA,Poland,A-,,,,,,,,,,,,,,,,2013.0
NHPC.NS,NHPC Ltd,India,A+,4.47673615302142,66.70395,51.8,35.4116,27.8,614011300000.0,0.46201,211449768273.6,66.49116,282459700000.0,614011300000.0,,,74159400000.0,22499200000.0,2013.0
SEB.HN,Mien Trung Power Investment and Development JSC,Vietnam,A+,17.1838833241556,48.07065,,5.39821,,345545138536.0,0.52179,391250000000.0,58.2221,207058393540.0,345545138536.0,,,104495890540.0,554937953.0,2013.0
GUNKUL.BK,Gunkul Engineering PCL,Thailand,BBB+,3.52967564938412,14.36078,,16.72581,,4579609369.54,0.11493,7721999169.3,18.69984,2848688430.29,4579609369.54,,,2025383430.0,665007389.92,2013.0
HPWR.CM,Resus Energy PLC,Sri Lanka,BBB-,11.6167055270835,46.56099,,4.83762,,3637039086.0,-0.00073,2228560035.6,4.2753,2509113341.0,3637039086.0,,,543675970.0,188825214.0,2013.0
VPC.HNO,Viet Nam Power Investment and Development JSC,Vietnam,BB,,41.20337,,,,102613175474.0,0.61904,15750000000.0,62.12348,52992521889.0,102613175474.0,,,10358014870.0,,2013.0
SOPV.PK,Solar Park Initiatives Inc,United States of America,,,,,,,,,,,,,,,,,2013.0
0916.HK,China Longyuan Power Group Corp Ltd,China,BB+,7.97854762713314,71.98944,16.16853,15.87619,13.76667,111106186000.0,1.43895,62680541413.5143,151.855,30953502000.0,111106186000.0,13149000000.0,,19146618000.0,10508783000.0,2013.0
ARISE.ST,Arise AB,Sweden,BB+,3.02114803625378,73.0424,,12.5,,3231000000.0,1.23065,712017891.0,138.46774,1240000000.0,3231000000.0,,,260000000.0,292000000.0,2013.0
CHP.HM,Central Hydropower JSC,Vietnam,AA-,10.7205402327724,88.89745,,0.0,,3408803975075.0,1.30623,1128000000000.0,139.96132,1254077554996.0,3408803975075.0,,,528414619630.0,89614799732.0,2013.0
ORIN.NS,Orient Green Power Company Ltd,India,BB,2.20262363130909,83.53563,,,,35130418454.0,2.02636,5283127715.7,206.98684,10564829715.0,35130418454.0,,,4128582090.0,2768550106.0,2013.0
SBA.HM,Song Ba JSC,Vietnam,AA,10.8118831482694,91.79541,,1.62516,,1521013604541.0,1.13741,464220148700.0,116.72939,682911558918.0,1521013604541.0,,,222149308400.0,43953179323.0,2013.0
KNR.NLB,Kontrol Technologies Corp,Canada,BBB+,-13.7530162050976,86.16866,,,,3238059.0,-0.12238,928305.645,,2720179.0,3238059.0,,,0.0,35375.0,2013.0
GEG.HM,Gia Lai Electricity JSC,Vietnam,B+,,,,,,,,,,,,,,,,2013.0
1798.HK,China Datang Corp Renewable Power Co Ltd,China,BB,5.4164938730607,80.08771,,14.72482,6.0,56388313000.0,3.21813,9313342895.05378,330.25396,9291985000.0,56388313000.0,,,5630285000.0,4600818000.0,2013.0
