Instrument,Company Common Name,Country of Headquarters,Credit Combined Implied Rating,Return on Capital Employed - %,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity,Environmental Expenditures,Research And Development,Total Revenue,Capital Expenditures - Total,Year
WBRE.PK,Wild Brush Energy Inc,United States of America,,,,,,,,,,,,,,,,,2021.0
BEP_u.TO,Brookfield Renewable Partners LP,Bermuda,CCC+,1.66255044876815,88.48157,-26.92,,25.0,55867000000.0,0.88469,9865496317.19962,91.65278,4973000000.0,55867000000.0,,,4071000000.0,1967000000.0,2021.0
900957.SS,Shanghai Lingyun Industries Development Co Ltd,China,A-,4.86947272663828,39.59616,,9.01765,,1023536692.02,0.89666,1398853109.9,91.88868,525574139.68,1023536692.02,,,113070980.0,1794417.35,2021.0
GESI.PK,General European Strategic Investments Inc,United States of America,,,,,,,,,,,,,,,,,2021.0
CGEI.PK,CGE Energy Inc,United States of America,,,,,,,,,,,,,,,,,2021.0
AKSUE.IS,Aksu Enerji ve Ticaret AS,Turkey,BBB+,18.3518188373307,51.10257,,,,84066036.0,4.10281,838200000.0,481.52172,13241298.0,84066036.0,,,17301460.0,3456599.0,2021.0
ORRON.ST,Orron Energy AB,Sweden,A,-0.881878309884765,0.39962,85.418,,79.01429,7907500000.0,,10288707708.3356,,-1419300000.0,7907500000.0,,,0.0,1323600000.0,2021.0
0987.HK,China Renewable Energy Investment Ltd,Hong Kong,A,3.67444460008349,41.6393,,11.00347,,2912467000.0,0.27215,839562750.44,36.84452,2050204000.0,2912467000.0,,,250255000.0,17712000.0,2021.0
2743.T,Pixel Companyz Inc,Japan,BBB-,-174.051679496064,0.0,,,,725307000.0,0.06844,2564799300.0,12.19041,492190000.0,725307000.0,,30000000,1014640000.0,8520000.0,2021.0
MENC.PK,Millennium Energy Corp,United States of America,,,,,,,,,,,,,,,,,2021.0
RNE.AX,Renu Energy Ltd,Australia,BBB,-29.4937920856869,0.21023,,,,14603002.0,-0.14594,10936980.36,0.14094,13686630.0,14603002.0,,,55360.0,,2021.0
FNEC.PK,First National Energy Corp,Canada,B-,,,,,,,,,,,,,,,,2021.0
ADXR.MC,Audax Renovables SA,Spain,B,4.22812186044426,8.68718,71.16,72.06641,15.0,1349114000.0,3.09688,554766728.04,546.55702,141568000.0,1349114000.0,,,1684642000.0,39148000.0,2021.0
600900.SS,China Yangtze Power Co Ltd,China,AA,12.0763675153069,67.63607,18.278,18.27837,18.2,328563281639.2,0.50135,516240204521.0,55.35101,181063819486.27,328563281639.2,,37368910,55646253990.0,3473877431.53,2021.0
002015.SZ,GCL Energy Technology Co Ltd,China,BB,9.27580817257056,59.96284,16.21883,16.21883,30.0,27501657817.95,1.61583,22261513195.52,191.64251,6412240065.18,27501657817.95,,15491750,11314324570.0,1673814377.87,2021.0
ORA.N,Ormat Technologies Inc,United States of America,BB,4.50794866863316,68.74036,23.99784,23.99784,20.625,4425678000.0,0.69056,4440919029.3,83.19817,1854999000.0,4425678000.0,,4129000,663084000.0,419272000.0,2021.0
PIF.TO,Polaris Renewable Energy Inc,Canada,BBB,3.44391921857929,121.17824,,87.73201,,502700000.0,0.29668,260565014.532215,67.21391,262759000.0,502700000.0,,,59517000.0,8413000.0,2021.0
PRIME.BK,Prime Road Power PCL,Thailand,BBB,0.647335915095878,47.40834,,1.86241,,6450063000.0,0.8468,8126067333.65,94.02311,2966021000.0,6450063000.0,,,567845000.0,962167000.0,2021.0
1711.T,SDS Holdings Co Ltd,Japan,B,-68.3380649423163,0.0,,,,921661000.0,-0.70746,5032983125.0,7.87786,596609000.0,921661000.0,,,1034970000.0,12109000.0,2021.0
SUPER.BK,Super Energy Corporation PCL,Thailand,BBB,7.31424049874712,74.5523,,4.63934,,80439462000.0,2.27363,25981999451.65,236.57458,19583564000.0,80439462000.0,,,8530063000.0,13227886000.0,2021.0
002039.SZ,Guizhou Qianyuan Power Co Ltd,China,BB+,7.23242075687049,93.88195,19.639,19.63894,15.0,17000204454.41,1.70562,6437803794.96,174.63763,3330178294.54,17000204454.41,,,2036096380.0,554115443.4,2021.0
9514.T,EF On Inc,Japan,BB,3.16320070131009,81.7235,33.15868,33.15868,,47241000000.0,1.25087,11834792993.0,150.93791,17539000000.0,47241000000.0,,,13258000000.0,4137000000.0,2021.0
JAPR.NS,Jaiprakash Power Ventures Ltd,India,BBB,4.1731869307266,80.88327,,65.3804,,173465300000.0,0.45095,46603520023.6,48.88039,103893400000.0,173465300000.0,,,46245500000.0,1030500000.0,2021.0
WWPW.PK,Wind Works Power Corp,Canada,CC,,,,,,,,,,,,,,,,2021.0
PEPP.WA,Polenergia SA,Poland,BBB,8.36836561934497,44.85297,,20.36057,,5607181000.0,0.70805,3344645059.2,89.04465,1857092000.0,5607181000.0,,659000,3999053000.0,576995000.0,2021.0
VLL.CM,Vidullanka PLC,Sri Lanka,A,18.9109222983675,67.39669,,36.19536,,11505891748.0,0.60023,6519249278.8,77.74621,5596575571.0,11505891748.0,,,2567672010.0,298603543.0,2021.0
PSPW.PK,3Power Energy Group Inc,United States of America,CC,,,,,,,,,,,,,,,,2021.0
ANFI.BO,Anjani Finance Ltd,India,A,-7.97345145498134,0.74834,,,,189284550.0,0.11357,56802480.0,48.87095,125103280.0,189284550.0,,,14019520.0,,2021.0
JYCH.BO,Jayshree Chemicals Ltd,India,A-,-6.13379489689512,17.51156,,,,229791000.0,-0.68459,188862383.08,,158567000.0,229791000.0,,,67117000.0,179000.0,2021.0
3777.T,FHT Holdings Corp,Japan,BBB,-12.3873307781948,2.7136,,0.13663,,1638489000.0,-0.56936,4074139220.0,2.19266,1517608000.0,1638489000.0,,,263723000.0,,2021.0
SPCG.BK,SPCG PCL,Thailand,AA+,14.8629677484229,72.01363,,4.96731,,24048230000.0,0.07009,19333752544.4776,22.6827,16791651000.0,24048230000.0,,,4492915000.0,2725113000.0,2021.0
VSH.HM,Vinh Son Song Hinh Hydropower JSC,Vietnam,A-,8.81214922338351,92.96101,,14.13659,,10016611517052.0,1.24118,6780123760200.0,126.40414,4010450990849.0,10016611517052.0,,,1611300817620.0,328164918535.0,2021.0
VEER.BO,Veer Energy & Infrastructure Ltd,India,A-,-1.68507721022852,14.235,,-4.88222,,663421000.0,-0.05234,154233330.0,0.0,636319000.0,663421000.0,,,52183000.0,13283000.0,2021.0
SOLR.V,Solar Alliance Energy Inc,Canada,A-,,2.95386,,,,3055634.0,-2.39882,35748030.24,0.0,904303.0,3055634.0,,,3666380.0,104351.0,2021.0
TBC.HM,Thacba Hydro Power JSC,Vietnam,AA+,17.2229664866268,63.36872,,15.14608,,1573745182378.0,0.04862,1911350000000.0,21.048,968679600429.0,1573745182378.0,,,495240055160.0,25621810389.0,2021.0
NWF.NZ,NZ Windfarms Ltd,New Zealand,A+,7.80548182738002,83.37726,,28.62692,,54834912.0,0.16533,50217441.9634763,20.622,41097938.0,54834912.0,,,12530850.0,3176116.0,2021.0
