Instrument,Company Common Name,Ticker Symbol,Country of Headquarters,Credit Combined Implied Rating,Return on Capital Employed - %,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity,Environmental Expenditures,Research And Development,Total Revenue,Year
NVTK.MM,Novatek PAO,NVTK,Russia,A,21.9348762418882,12.43622,,,,694383000.0,0.53464,,55.1211,393929000.0,694383000.0,,,,2000.0
PEA.TO,Pieridae Energy Ltd,PEA,Canada,B,,,,,,,,,,,,,,,2000.0
ENER.KW,Energy House Holding Company KSCP,ENERGYH,Kuwait,BBB-,,,,,,,,,,,,,,,2000.0
PGN.WA,Polskie Gornictwo Naftowe i Gazownictwo SA,PGN,Poland,A-,,,,,,,,,,,,,,,2000.0
SHEL.L,Shell PLC,SHEL,United Kingdom,A-,,,,,,,,,,,,,,,2000.0
ECHOE.L,Echo Energy PLC,ECHO,United Kingdom,CCC+,,,,,,,,,,,,,,,2000.0
DANA.AD,Dana Gas PJSC,DANA,United Arab Emirates,AA,,,,,,,,,,,,,,,2000.0
ROSN.MM,NK Rosneft' PAO,ROSN,Russia,B+,,,,,,,,,,,,,,,2000.0
GALP.LS,Galp Energia SGPS SA,GALP,Portugal,BBB,,,,,,,,,,,,,,,2000.0
GSP.MI,Gas Plus SpA,GSP,Italy,B-,,,,,,,,,,,,,,,2000.0
INAI.ZA,INA dd,INA-R-A,Croatia,AA-,,,,,,,,,,,,,,,2000.0
601857.SS,PetroChina Co Ltd,601857,China,A+,,,,,,,,,,,,,,,2000.0
ECO.CN,Ecopetrol SA,ECOPETROL,Colombia,BBB,,,,0.0,,17930413881000.0,0.20859,,27.33681,4637472601000.0,17930413881000.0,,,9187098567000.0,2000.0
CVE.TO,Cenovus Energy Inc,CVE,Canada,BBB,,,,,,,,,,,,,,,2000.0
