Instrument,Company Common Name,Country of Headquarters,Credit Combined Implied Rating,Return on Capital Employed - %,PPE - Net Percentage of Total Assets,Tax Rate - Actual,"Effective Tax Rate, (%)",Tax Rate - Mean,Total Assets,Net Debt to Total Equity,Market Capitalization,Total Debt Percentage of Total Equity,Shareholders' Equity - Attributable to Parent ShHold - Total,Total Liabilities & Equity,Environmental Expenditures,Research And Development,Total Revenue,Capital Expenditures - Total,Year
NEE.N,Nextera Energy Inc,United States of America,BBB+,4.54127032832157,70.15915,11.83,9.35871,15.85,117691000000.0,1.01642,118361972670.48,103.09236,37005000000.0,117691000000.0,,,19204000000.0,5912000000.0,2019.0
ENEI.MI,Enel SpA,Italy,BB+,8.7612396197083,46.55595,19.38,19.38776,28.54286,171426000000.0,1.02616,71898760578.112,131.0239,30377000000.0,171426000000.0,,,77366000000.0,9259000000.0,2019.0
ORSTED.CO,Orsted A/S,Denmark,BB,6.33676799101765,48.14836,16.84421,16.84421,11.2,174575000000.0,-0.0016,183160036556.0,32.06955,68488000000.0,174575000000.0,,,75520000000.0,14655000000.0,2018.0
IBE.MC,Iberdrola SA,Spain,A,5.74305985775507,58.4842,22.06742,22.06742,21.46,113037923000.0,0.77612,44898560322.0,85.28113,36582199000.0,113037923000.0,4417460000.0,,35075873000.0,6351129000.0,2018.0
NEE.N,Nextera Energy Inc,United States of America,BBB+,4.48747324396285,68.01701,30.2,27.3667,20.6,103702000000.0,0.99262,83076444571.74,100.96758,34144000000.0,103702000000.0,,,16727000000.0,6010000000.0,2018.0
ENEI.MI,Enel SpA,Italy,BB+,7.62205453298179,46.32399,22.57,22.57042,27.13333,165424000000.0,0.93551,51280733647.624,118.18942,31720000000.0,165424000000.0,,,73037000000.0,8259000000.0,2018.0
ORSTED.CO,Orsted A/S,Denmark,BB,8.69281966404902,51.76391,19.84,11.77561,14.2,146521000000.0,0.01256,142383071796.0,41.25451,54791000000.0,146521000000.0,,,59709000000.0,17592000000.0,2017.0
IBE.MC,Iberdrola SA,Spain,A,4.15433348383313,57.89431,-78.80754,-68.96498,23.24286,110688559000.0,0.76125,40811146900.0,85.01266,35509260000.0,110688559000.0,2682252000.0,,31263262000.0,6125364000.0,2017.0
NEE.N,Nextera Energy Inc,United States of America,BBB+,4.9736419894568,73.79215,27.25,26.18486,29.55,97963000000.0,1.128,73471398176.39,118.60418,28236000000.0,97963000000.0,,,17173000000.0,5445000000.0,2017.0
ENEI.MI,Enel SpA,Italy,BB+,7.8924068947348,48.14734,26.1,26.09902,29.88571,155641000000.0,0.77406,52155068122.98,99.63191,34795000000.0,155641000000.0,1175000000.0,,72664000000.0,8499000000.0,2017.0
ORSTED.CO,Orsted A/S,Denmark,BB,7.93756724732032,51.41953,17.986,14.07815,26.98,136489000000.0,0.09864,112493977008.0,42.05739,39106000000.0,136489000000.0,,,57393000000.0,14980000000.0,2016.0
IBE.MC,Iberdrola SA,Spain,A,5.08676691169897,59.82255,25.309,24.1103,24.32,106706220000.0,0.70601,39661200486.0,76.04165,36690965000.0,106706220000.0,2753150000.0,,28759148000.0,4908323000.0,2016.0
NEE.N,Nextera Energy Inc,United States of America,BBB+,4.87830645906792,74.35245,31.51778,31.4984,29.775,89993000000.0,1.16648,55819832532.42,121.74806,24341000000.0,89993000000.0,72800000.0,,16138000000.0,4240000000.0,2016.0
ENEI.MI,Enel SpA,Italy,BB+,7.96730752943169,49.01476,34.48097,34.48097,30.875,155596000000.0,0.77122,42578055613.848,98.45364,34803000000.0,155596000000.0,984000000.0,,68604000000.0,8842000000.0,2016.0
ORSTED.CO,Orsted A/S,Denmark,BB,2.5464562033711,54.4084,,-11.01796,,147457000000.0,0.27126,,70.35913,32090000000.0,147457000000.0,,,66708000000.0,12749000000.0,2015.0
IBE.MC,Iberdrola SA,Spain,A,4.82736019503667,59.03509,17.64883,17.64844,21.975,104664182000.0,0.67192,41506498500.0,71.68641,37158658000.0,104664182000.0,2789377000.0,,31418693000.0,4091977000.0,2015.0
NEE.N,Nextera Energy Inc,United States of America,BBB+,5.44154274145389,74.42622,30.77694,30.77694,31.14,82479000000.0,1.25978,47845075274.34,128.44843,22574000000.0,82479000000.0,88300000.0,,17486000000.0,3872000000.0,2015.0
ENEI.MI,Enel SpA,Italy,BB+,6.87949567606886,45.48173,36.14846,36.14846,32.83,161179000000.0,0.78422,36597868538.14,103.29655,32376000000.0,161179000000.0,1049000000.0,,73076000000.0,7762000000.0,2015.0
ORSTED.CO,Orsted A/S,Denmark,BB,8.01924964272801,57.30352,,226.50602,,149914000000.0,0.10307,,58.59783,41736000000.0,149914000000.0,,,71829000000.0,14631000000.0,2014.0
IBE.MC,Iberdrola SA,Spain,A,5.08842809253334,58.7859,27.338,26.14334,25.86667,93742388000.0,0.68809,35756339351.0,76.79707,34954490000.0,93742388000.0,1683398000.0,,30032270000.0,3565964000.0,2014.0
NEE.N,Nextera Energy Inc,United States of America,BBB+,6.35859874139406,74.66658,32.26337,32.26337,28.3,74605000000.0,1.39449,47216304304.74,142.3096,19916000000.0,74605000000.0,120590000.0,,17021000000.0,3503000000.0,2014.0
ENEI.MI,Enel SpA,Italy,BB+,5.38871030567239,43.862,48.83,,37.58889,166634000000.0,0.79994,34754810410.32,113.02767,31506000000.0,166634000000.0,808000000.0,,73328000000.0,6701000000.0,2014.0
ORSTED.CO,Orsted A/S,Denmark,BB,5.7157195265453,62.82745,,,,145672000000.0,0.54007,,89.54853,31599000000.0,145672000000.0,,,72199000000.0,21039000000.0,2013.0
IBE.MC,Iberdrola SA,Spain,A,5.07090831914341,57.02848,-119.6269,-129.10836,-39.33333,89786879000.0,0.73064,28922284125.0,79.32367,34584689000.0,89786879000.0,1736704000.0,,31077112000.0,3398796000.0,2013.0
NEE.N,Nextera Energy Inc,United States of America,BBB+,5.99081926398506,76.06845,31.77311,31.66259,23.43333,69306000000.0,1.55144,37950244824.72,157.57206,18040000000.0,69306000000.0,110100000.0,,15136000000.0,3228000000.0,2013.0
ENEI.MI,Enel SpA,Italy,BB+,7.70303811228814,48.98117,34.32,33.17489,37.9,163865000000.0,0.84854,29846257641.33,109.87091,35941000000.0,163865000000.0,835000000.0,,75427000000.0,5921000000.0,2013.0
ORSTED.CO,Orsted A/S,Denmark,BB,-4.22956645044756,59.63591,,,,157489000000.0,0.68938,,105.45625,33421000000.0,157489000000.0,,,65860000000.0,16546000000.0,2012.0
IBE.MC,Iberdrola SA,Spain,A,5.69161819269725,55.28932,,5.80451,,94122851000.0,0.7852,25752656135.0,95.8424,32882120000.0,94122851000.0,1702162000.0,,34201193000.0,4479208000.0,2012.0
NEE.N,Nextera Energy Inc,United States of America,BBB+,6.17944147355912,76.68182,,26.58471,,64439000000.0,1.68223,29281628467.63,170.2701,16068000000.0,64439000000.0,101700000.0,,14256000000.0,4870000000.0,2012.0
ENEI.MI,Enel SpA,Italy,BB+,7.66775582218621,47.8313,,62.8542,,171831000000.0,0.88997,29507736760.71,122.36261,35775000000.0,171831000000.0,1141000000.0,,82431000000.0,7149000000.0,2012.0
ORSTED.CO,Orsted A/S,Denmark,BB,7.21905874998301,61.34105,,46.22976,,154073000000.0,0.48443,,69.66921,40250000000.0,154073000000.0,,,58437000000.0,17851000000.0,2011.0
IBE.MC,Iberdrola SA,Spain,A,5.72798573436776,54.01772,,15.89799,,97016529000.0,0.85326,28465369110.0,104.5191,32029029000.0,97016529000.0,1785610000.0,,31648035000.0,4545158000.0,2011.0
NEE.N,Nextera Energy Inc,United States of America,BBB+,6.86005447446639,74.2988,,21.57423,,57188000000.0,1.51174,25724003490.72,153.69738,14943000000.0,57188000000.0,118700000.0,,15341000000.0,4027000000.0,2011.0
ENEI.MI,Enel SpA,Italy,BB+,9.14535681523544,47.43943,,36.2515,,169884000000.0,0.84459,29564156907.48,116.77048,38512000000.0,169884000000.0,1282000000.0,,77573000000.0,7589000000.0,2011.0
ORSTED.CO,Orsted A/S,Denmark,BB,7.97879310171046,58.74879,,40.16888,,137339000000.0,0.5192,,73.87347,39705000000.0,137339000000.0,,,54598000000.0,15209000000.0,2010.0
IBE.MC,Iberdrola SA,Spain,A,6.57424257607179,107.15418,,23.41248,,93700952000.0,0.75268,31630806424.0,102.55205,29078799000.0,93700952000.0,1558840000.0,,30431034000.0,5550293000.0,2010.0
NEE.N,Nextera Energy Inc,United States of America,BBB+,7.36898262182318,73.73476,,21.37405,,52994000000.0,1.41899,21753673892.52,143.98728,14461000000.0,52994000000.0,187000000.0,,15317000000.0,2947000000.0,2010.0
ENEI.MI,Enel SpA,Italy,BB+,9.0433293034643,46.32954,,29.73743,,168562000000.0,0.8644,35168558153.3,118.15988,37989000000.0,168562000000.0,833000000.0,,71943000000.0,7187000000.0,2010.0
ORSTED.CO,Orsted A/S,Denmark,BB,,,,52.72123,,120552000000.0,0.62795,,78.57079,36618000000.0,120552000000.0,,,49262000000.0,15859000000.0,2009.0
IBE.MC,Iberdrola SA,Spain,A,6.65295339453723,52.18535,,19.65217,,87010994000.0,0.88512,35032999185.72,108.79541,26636654000.0,87010994000.0,292154000.0,,25891938000.0,4945348000.0,2009.0
NEE.N,Nextera Energy Inc,United States of America,BBB+,11.0157819587824,74.4521,,16.83831,,48458000000.0,1.43834,21833002484.48,145.66978,12967000000.0,48458000000.0,214000000.0,,15643000000.0,2938000000.0,2009.0
ENEI.MI,Enel SpA,Italy,BB+,9.96329086590369,47.17953,,27.79026,,162331000000.0,1.26151,38060090675.2625,144.34285,33268000000.0,162331000000.0,786000000.0,,62498000000.0,7000000000.0,2009.0
ORSTED.CO,Orsted A/S,Denmark,BB,,,,,,,,,,,,,,,,2008.0
IBE.MC,Iberdrola SA,Spain,A,7.21708090781408,49.67948,,23.17052,,85604170000.0,1.04108,32715197102.64,124.6269,23364585000.0,85604170000.0,424617000.0,,25196172000.0,7421643000.0,2008.0
NEE.N,Nextera Energy Inc,United States of America,BBB+,11.9361651537827,72.31209,,21.54141,,44821000000.0,1.41692,20580707300.65,146.27172,11681000000.0,44821000000.0,181000000.0,,16410000000.0,2521000000.0,2008.0
ENEI.MI,Enel SpA,Italy,BB+,9.18924893436045,65.49291,,9.17072,,133077000000.0,1.9499,27978082654.5675,226.79448,20392000000.0,133077000000.0,639000000.0,,59577000000.0,7397000000.0,2008.0
ORSTED.CO,Orsted A/S,Denmark,BB,,,,,,,,,,,,,,,,2007.0
IBE.MC,Iberdrola SA,Spain,A,9.14724403050708,51.81286,,22.67935,,67532361000.0,0.75962,51934917216.0,80.66576,25537218000.0,67532361000.0,420885000.0,,17468037000.0,5211984000.0,2007.0
NEE.N,Nextera Energy Inc,United States of America,BBB+,11.3308592098464,71.41041,,21.90476,,40123000000.0,1.249,27591725895.98,127.6013,10735000000.0,40123000000.0,80000000.0,,15263000000.0,2167000000.0,2007.0
ENEI.MI,Enel SpA,Italy,BB+,9.6934936034332,46.22204,,33.10765,,130851000000.0,2.12222,50309193504.31,225.91897,19553000000.0,130851000000.0,454000000.0,,42734000000.0,5230000000.0,2007.0
ORSTED.CO,Orsted A/S,Denmark,BB,,,,,,,,,,,,,,,,2006.0
IBE.MC,Iberdrola SA,Spain,A,10.4945482473458,63.72298,,29.13829,,33060843000.0,1.25537,29859308874.72,134.76451,10418214000.0,33060843000.0,238300000.0,,11017408000.0,2488868000.0,2006.0
NEE.N,Nextera Energy Inc,United States of America,BBB+,12.3508212752857,68.39093,,23.65912,,35822000000.0,1.17956,22026313835.82,124.1994,9930000000.0,35822000000.0,,,15710000000.0,2038000000.0,2006.0
ENEI.MI,Enel SpA,Italy,BB+,21.226634486053,63.93761,,39.99613,,54500000000.0,0.66512,48265641462.885,71.50066,18460000000.0,54500000000.0,585000000.0,,37497000000.0,2963000000.0,2006.0
ORSTED.CO,Orsted A/S,Denmark,BB,,,,,,,,,,,,,,,,2005.0
IBE.MC,Iberdrola SA,Spain,A,10.3712977101056,65.43022,,28.25862,,30478660000.0,1.28228,20816770589.29,137.39244,9267653000.0,30478660000.0,53280000.0,,11738228000.0,2106741000.0,2005.0
NEE.N,Nextera Energy Inc,United States of America,BBB+,11.1427883070993,67.96302,,23.8377,,32990000000.0,1.1765,16410186226.44,123.84067,8561000000.0,32990000000.0,41000000.0,,11846000000.0,1731000000.0,2005.0
ENEI.MI,Enel SpA,Italy,BB+,12.7978264721517,59.77585,,40.34209,,50502000000.0,0.62927,40833699156.272,68.30964,19057000000.0,50502000000.0,,,32370000000.0,3257000000.0,2005.0
